Hour;EOM_price;EOM_price_CT;EOM_price_QT;EOM_price_FP;EOM_price_CfD;H2_price;H2_price_CfD;H2_price_CT;H2_price_QT;H2_price_FP
128;137.3088635;136.8270369;125.7903602;126.036755;126.0281922;88.13930131;87.23727953;87.87428736;87.42635292;87.3160836
129;137.3088634;133.2449493;125.7903429;126.0367549;126.0281891;88.13930131;87.23727953;87.87428736;87.42635292;87.3160836
130;137.3088626;128.6046365;125.7903295;126.0367468;126.0281867;88.13930131;87.23727953;87.87428736;87.42635292;87.3160836
131;137.3088625;126.0990353;125.7903282;126.0367306;126.0281771;88.13930131;87.23727953;87.87428736;87.42635292;87.3160836
132;137.3088619;126.0972771;125.7903279;126.0367149;126.0281742;88.13930131;87.23727953;87.87428736;87.42635292;87.3160836
133;137.3088599;126.0972732;125.7903265;126.0367089;126.028172;88.13930131;87.23727953;87.87428736;87.42635292;87.3160836
134;137.3088596;126.0972663;125.7903256;126.0366945;126.0281657;88.13930131;87.23727953;87.87428736;87.42635292;87.3160836
135;137.3088581;126.0972552;125.7903246;126.0366929;126.0281379;88.13930131;87.23727953;87.87428736;87.42635292;87.3160836
136;137.3088559;126.0972537;125.7903233;126.0366834;126.0281367;88.13930131;87.23727953;87.87428736;87.42635292;87.3160836
137;137.3088553;126.0972488;125.7903217;126.0366738;126.0281319;88.13930131;87.23727953;87.87428736;87.42635292;87.3160836
138;137.3088542;126.0972409;125.7903209;126.0366692;126.0281212;88.13930131;87.23727953;87.87428736;87.42635292;87.3160836
139;137.3088526;126.0972315;125.7903202;126.0366688;126.028121;88.13930131;87.23727953;87.87428736;87.42635292;87.3160836
140;137.3088517;126.097219;125.7903184;126.0366661;126.0281172;88.13930131;87.23727953;87.87428736;87.42635292;87.3160836
141;137.3088502;126.0972178;125.7903182;126.036656;126.0281131;88.13930131;87.23727953;87.87428736;87.42635292;87.3160836
142;129.1627814;126.0972115;125.7903175;126.0366556;126.0281071;88.13930131;87.23727953;87.87428736;87.42635292;87.3160836
143;127.1861813;126.0972099;125.7903166;126.0366516;126.0281044;88.13930131;87.23727953;87.87428736;87.42635292;87.3160836
144;126.9403358;126.0972056;125.7903158;126.0366499;126.0280785;88.13930131;87.23727953;87.87428736;87.42635292;87.3160836
145;126.9381825;126.0972031;125.7903134;126.0366478;126.0280032;88.13928966;87.06465141;87.87428721;87.12235669;87.10521006
146;126.9375766;126.097203;125.7903116;126.036644;126.0279822;88.13928966;87.06465141;87.87428721;87.12235669;87.10521006
147;126.9375459;126.0972;125.790308;126.0366384;126.027979;88.13928966;87.06465141;87.87428721;87.12235669;87.10521006
148;126.937495;126.0972;125.7903077;126.0366358;126.0279572;88.13928966;87.06465141;87.87428721;87.12235669;87.10521006
149;126.9374899;126.0971985;125.7903076;126.0366252;126.0279201;88.13928966;87.06465141;87.87428721;87.12235669;87.10521006
150;126.9374541;126.0971982;125.7903026;126.0366009;126.0278839;88.13928966;87.06465141;87.87428721;87.12235669;87.10521006
151;126.9374433;126.0971978;125.7902676;126.0365257;126.0278616;88.13928966;87.06465141;87.87428721;87.12235669;87.10521006
152;126.9374319;126.0971961;125.7902654;126.0364753;126.0277767;88.13928966;87.06465141;87.87428721;87.12235669;87.10521006
153;126.9374251;126.0971921;125.7902631;126.0364743;126.0276854;88.13928966;87.06465141;87.87428721;87.12235669;87.10521006
154;126.9374135;126.0971914;125.7902631;126.0364655;126.0276356;88.13928966;87.06465141;87.87428721;87.12235669;87.10521006
155;126.9374102;126.0971902;125.7902629;126.0364389;126.0275499;88.13928966;87.06465141;87.87428721;87.12235669;87.10521006
156;126.9374072;126.0971884;125.7902618;121.8455119;121.8971517;88.13928966;87.06465141;87.87428721;87.12235669;87.10521006
157;126.9373959;126.0971868;97.06712954;100.6555482;102.1521654;88.13928966;87.06465141;87.87428721;87.12235669;87.10521006
158;126.9373847;126.097183;97.06709103;90.68622531;92.4638872;88.13928966;87.06465141;87.87428721;87.12235669;87.10521006
159;126.9373834;126.0971741;97.06707275;87.17594114;87.55205752;88.13928966;87.06465141;87.87428721;87.12235669;87.10521006
160;126.9373806;126.0971717;97.0669772;87.15898591;87.0844666;88.13928966;87.06465141;87.87428721;87.12235669;87.10521006
161;126.9373799;126.0971716;97.06695606;87.15874991;87.08446001;88.13928966;87.06465141;87.87428721;87.12235669;87.10521006
162;126.9373762;126.0971706;97.0668499;87.15872639;87.08408488;88.13928966;87.06465141;87.87428721;87.12235669;87.10521006
163;126.9373752;126.09717;97.05775184;87.15850148;87.0839601;88.13928966;87.06465141;87.87428721;87.12235669;87.10521006
164;126.9373719;126.0971609;97.05769566;87.15800731;87.08225612;88.13928966;87.06465141;87.87428721;87.12235669;87.10521006
165;126.93737;126.097156;97.05749983;87.15798838;87.08206993;88.13928966;87.06465141;87.87428721;87.12235669;87.10521006
166;126.9373682;126.0971195;97.05748605;87.13421124;87.08204846;88.13928966;87.06465141;87.87428721;87.12235669;87.10521006
167;126.9373681;126.0971169;97.05747517;87.13404895;87.07712166;88.13928966;87.06465141;87.87428721;87.12235669;87.10521006
168;126.9373675;96.49251975;97.05741483;87.13388595;87.07701481;88.13928966;87.06465141;87.87428721;87.12235669;87.10521006
169;126.9373658;77.02384531;96.81610974;86.75626734;86.60486385;88.13928187;84.92915661;85.09138146;84.79532659;85.00825712
170;126.9373636;74.49985262;96.81604922;86.7449693;86.60485511;88.13928187;84.92915661;85.09138146;84.79532659;85.00825712
171;126.937344;61.5124762;96.8159341;86.74455811;86.60484865;88.13928187;84.92915661;85.09138146;84.79532659;85.00825712
172;106.3137466;61.51247169;96.81592504;86.74453748;86.60484702;88.13928187;84.92915661;85.09138146;84.79532659;85.00825712
173;67.04306937;61.51246905;96.81592268;86.74452254;86.60484058;88.13928187;84.92915661;85.09138146;84.79532659;85.00825712
174;61.69764449;61.51243606;96.81591353;86.7445187;86.60451611;88.13928187;84.92915661;85.09138146;84.79532659;85.00825712
175;61.69763904;61.51236759;96.81590105;86.7445039;86.47889511;88.13928187;84.92915661;85.09138146;84.79532659;85.00825712
176;61.69759846;61.51236043;96.60424048;86.59995221;86.47880994;88.13928187;84.92915661;85.09138146;84.79532659;85.00825712
177;61.69758967;61.51231971;96.60418857;86.59985399;85.99600746;88.13928187;84.92915661;85.09138146;84.79532659;85.00825712
178;61.69755125;61.51229398;94.97651115;85.12997516;84.98321742;88.13928187;84.92915661;85.09138146;84.79532659;85.00825712
179;61.69751386;61.51213532;93.82387494;84.0212426;83.68029503;88.13928187;84.92915661;85.09138146;84.79532659;85.00825712
180;61.69751216;61.51212123;93.82381358;83.82354702;83.68009776;88.13928187;84.92915661;85.09138146;84.79532659;85.00825712
181;61.69749782;61.51211604;93.82374262;83.81368665;83.67990408;88.13928187;84.92915661;85.09138146;84.79532659;85.00825712
182;61.69749764;61.51202976;93.82370446;83.81364857;83.67983324;88.13928187;84.92915661;85.09138146;84.79532659;85.00825712
183;61.69749692;61.51199826;93.82364384;83.81359431;78.57204758;88.13928187;84.92915661;85.09138146;84.79532659;85.00825712
184;61.69748894;61.51195276;89.12596903;83.81337724;78.57204694;88.13928187;84.92915661;85.09138146;84.79532659;85.00825712
185;61.697486;61.5119232;89.12590283;78.82151085;78.57204599;88.13928187;84.92915661;85.09138146;84.79532659;85.00825712
186;61.69747907;61.51192059;89.12581624;78.82097939;78.57204037;88.13928187;84.92915661;85.09138146;84.79532659;85.00825712
187;61.69747753;59.56346343;89.12580223;78.82063386;78.57202841;88.13928187;84.92915661;85.09138146;84.79532659;85.00825712
188;61.69747648;59.56344133;89.12580221;78.82054089;78.57202296;88.13928187;84.92915661;85.09138146;84.79532659;85.00825712
189;61.69745464;59.56343787;89.12580192;78.82051725;78.57201514;88.13928187;84.92915661;85.09138146;84.79532659;85.00825712
190;61.69743445;57.79443492;89.12579633;78.82051352;78.57201113;88.13928187;84.92915661;85.09138146;84.79532659;85.00825712
191;61.69741621;57.68761352;89.12579319;78.82050032;78.57200998;88.13928187;84.92915661;85.09138146;84.79532659;85.00825712
192;61.69739435;57.12722559;89.1257803;78.82047997;78.57195721;88.13928187;84.92915661;85.09138146;84.79532659;85.00825712
193;61.69739091;56.18669154;89.12577784;78.82047298;78.57175025;88.13898002;83.06871588;82.40996305;83.14954928;83.12019951
194;61.69736352;56.18668489;89.12576067;78.82045481;74.64868353;88.13898002;83.06871588;82.40996305;83.14954928;83.12019951
195;61.69735932;56.18668424;89.12575259;78.82043765;74.64827967;88.13898002;83.06871588;82.40996305;83.14954928;83.12019951
196;61.69732658;56.18668169;89.12575084;78.82043419;74.64822794;88.13898002;83.06871588;82.40996305;83.14954928;83.12019951
197;61.69722576;56.1866794;89.12574464;74.71685051;74.64814396;88.13898002;83.06871588;82.40996305;83.14954928;83.12019951
198;61.69722405;56.18667294;83.77760452;74.71683029;74.64810756;88.13898002;83.06871588;82.40996305;83.14954928;83.12019951
199;55.56800547;56.18666452;83.77745127;74.71681596;74.64808035;88.13898002;83.06871588;82.40996305;83.14954928;83.12019951
200;52.88163543;56.1866605;83.20016396;74.71677761;74.6480661;88.13898002;83.06871588;82.40996305;83.14954928;83.12019951
201;52.88162951;56.18665948;83.20016205;74.71671143;74.64805246;88.13898002;83.06871588;82.40996305;83.14954928;83.12019951
202;52.88162733;56.18665106;83.20011821;74.71658763;74.64799333;88.13898002;83.06871588;82.40996305;83.14954928;83.12019951
203;52.88160295;56.18664589;83.20011445;74.69048172;74.64792873;88.13898002;83.06871588;82.40996305;83.14954928;83.12019951
204;52.88158214;56.18661468;83.20002659;74.69047127;74.64787106;88.13898002;83.06871588;82.40996305;83.14954928;83.12019951
205;52.88156806;52.72457742;83.20002393;74.69043857;74.64787042;88.13898002;83.06871588;82.40996305;83.14954928;83.12019951
206;52.88156093;52.72457613;83.19991019;74.69041276;74.64785949;88.13898002;83.06871588;82.40996305;83.14954928;83.12019951
207;52.88155679;52.72457542;83.19989815;74.69035052;74.64777118;88.13898002;83.06871588;82.40996305;83.14954928;83.12019951
208;52.88154399;52.72457444;83.19988968;74.69022953;74.64776243;88.13898002;83.06871588;82.40996305;83.14954928;83.12019951
